LNF_code,Crop_DE,Crop_EN,HCATv4_Identifier
720,Gepflegte Selven (Edelkastanienbäume),Managed chestnut groves,3330305000
721,Mehrjährige gärtnerische Freilandkulturen (nicht im Gewächshaus),Perennial open-field horticultural crops (not in greenhouses),3310800000
722,Baumschulen von Reben,Vine nurseries,3330700000
723,Baumschulen von Obst und Beeren,Fruit and berry tree nurseries,3330700000
724,"Übrige Baumschulen (Rosen, Zierstauden, usw.)","Other nurseries (roses, ornamental shrubs, etc.)",3330700000
725,Permakultur,Permaculture,3390000000
730,Obstanlagen aggregiert,"Fruit orchards, aggregated",3330100000
731,"Andere Obstanlagen (Kiwis, Holunder usw.)","Other fruit orchards (kiwi, elderberry, etc.)",3330100000
735,Reben (regionsspezifische Biodiversitätsförderflächen),Vineyards (region-specific biodiversity promotion areas),3330600000
750,"Übrige Dauerkulturen, beitragsberechtigt, aggregiert","Other perennial crops, eligible for contributions (aggregated)",3390000000
760,"Dauerkulturen, nicht beitragsberechtigt, aggregiert","Perennial crops, not eligible for contributions (aggregated)",3390000000
797,"Übrige Flächen mit Dauerkulturen, beitragsberechtigt","Other areas with perennial crops, eligible for contributions",3390000000
798,"Übrige Flächen mit Dauerkulturen, nicht beitragsberechtigt","Other areas with perennial crops, not eligible for contributions",3390000000
801,Gemüsekulturen in Gewächshäusern mit festem Fundament,Vegetable crops in greenhouses with permanent foundations,3350000000
802,Übrige Spezialkulturen in Gewächshäusern mit festem Fundament,Other special crops in greenhouses with permanent foundations,3350000000
803,Gärtnerische Kulturen in Gewächshäusern mit festem Fundament,Horticultural crops in greenhouses with permanent foundations,3350000000
804,Beerenkulturen in Gewächshäusern mit festem Fundament,Berry crops in greenhouses with permanent foundations,3350000000
806,Gemüsekulturen in geschütztem Anbau ohne festes Fundament,Vegetable crops in protected cultivation without permanent foundations,3350000000
807,Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament,Other special crops in protected cultivation without permanent foundations,3350000000
808,Gärtnerische Kulturen in geschütztem Anbau ohne festes Fundament,Horticultural crops in protected cultivation without permanent foundations,3350000000
810,Pilze in geschütztem Anbau mit festem Fundament,Mushrooms in protected cultivation with permanent foundations,3350000000
811,Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden,"Vegetable crops in protected cultivation without permanent foundations, in natural soil",3350000000
812,Gemüsekulturen in geschütztem Anbau ohne festes Fundament; auf Pflanztischen oder -gestellen,"Vegetable crops in protected cultivation without permanent foundations, on planting tables or racks",3350000000
813,Beerenkulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden,"Berry crops in protected cultivation without permanent foundations, in natural soil",3350000000
814,Beerenkulturen in geschütztem Anbau ohne festes Fundament; auf Pflanztischen oder -gestellen,"Berry crops in protected cultivation without permanent foundations, on planting tables or racks",3350000000
830,"Kulturen in ganzjährig geschütztem Anbau, beitragsberechtigt aggregiert","Crops in year-round protected cultivation, eligible for contributions (aggregated)",3350000000
840,"Kulturen in ganzjährig geschütztem Anbau, nicht beitragsberechtigt aggregiert","Crops in year-round protected cultivation, not eligible for contributions (aggregated)",3350000000
847,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, beitragsberechtigt","Other crops in protected cultivation without permanent foundations, eligible for contributions",3350000000
848,Übrige Kulturen in geschütztem Anbau mit festem Fundament,Other crops in protected cultivation with permanent foundations,3350000000
849,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, nicht beitragsberechtigt","Other crops in protected cultivation without permanent foundations, not eligible for contributions",3350000000
851,Streueflächen in der landwirtschaftlichen Nutzfläche,Litter areas within agricultural land,3320100000
852,"Hecken-, Feld- und Ufergehölze (mit Krautsaum)","Hedges, field and riparian woody vegetation (with herbaceous margin)",3360000000
857,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen)","Hedges, field and riparian woody vegetation (with buffer strip)",3360000000
858,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen) (regionsspezifische Biodiversitätsförderfläche)","Hedges, field and riparian woody vegetation (with buffer strip, region-specific biodiversity promotion area)",3360000000
901,Wald,Forest,3360000000
902,"Übrige unproduktive Flächen (z.B. gemulchte Flächen, stark verunkrautete Flächen, Hecken ohne Pufferstreifen)","Other unproductive areas (e.g. mulched areas, heavily weed-infested areas, hedges without buffer strips)",3370000000
905,"Ruderalflächen, Steinhaufen und -wälle","Ruderal areas, stone heaps and stone walls",3370000000
909,Hausgärten,Home gardens,3311200000
930,Sömmerungsweiden,Summer grazing pastures,3320100000
933,Gemeinschaftsweiden,Communal pastures,3320100000
935,Heuwiesen mit Zufütterung während der Sömmerung,Hay meadows with supplementary feeding during summer grazing,3320100000
936,Streueflächen im Sömmerungsgebiet,Litter areas in summer-grazing regions,3320100000
950,Ackerschonstreifen,Arable field margin strips,3311100000
951,Getreide in weiter Reihe,Cereals in wide rows,3310100000
