LNF_code,Crop_DE,Crop_EN,Crop_FR,Crop_IT,Valid_from,Valid_until,Overlapping,BPA_QI ,Special_culture,Crop_Label,Crop_Label_lv1,Crop_Label_lv2,Crop_Label_lv3,Exclude,Avg_Area_ha,2019_Area_m2,2020_Area_m2,2021_Area_m22,2022_Area_m23,2023_Area_m24,2024_Area_m25,2025_Area_m26
705,Mehrjährige Beeren,Perennial berries,Baies pluriannuelles,Bacche pluriennali,,,0.0,0.0,1.0,Perennial Berries,Perennial Berries,Perennial Horticulture,Permanent,,588,5139812,5954218,5624734,5835957,6199888,6291623,6103158
706,Mehrjährige Gewürz- und Medizinalpflanzen,Perennial spice and medicinal plants,Plantes aromatiques et plantes médicinales pluriannuelles,Piante aromatiche e medicinali pluriennali,,,0.0,0.0,1.0,Perennial Spices,Perennial Spices,Perennial Horticulture,Permanent,,202,1304230,2165333,1613865,1670202,2323336,2484241,2578651
707,"Mehrjährige nachwachsende Rohstoffe (Chinaschilf, usw.)",Perennial renewable raw materials (e.g. miscanthus),"Matières premières renouvelables pluriannuelles (roseau de Chine, etc.)",Materie prime rinnovabili pluriennali (Miscanthus sin. ecc.),,,0.0,0.0,0.0,Perennial Special Crops,Perennial Special Crops,Perennial Horticulture,Permanent,,68,786281,813602,512799,516544,763404,681738,670182
708,Hopfen,Hops,Houblon,Luppolo,,,0.0,0.0,1.0,Hops,Perennial Special Crops,Perennial Horticulture,Permanent,,20,205294,208602,171035,163781,211431,213454,205082
709,Rhabarber,Rhubarb,Rhubarbe,Rabarbaro,,,0.0,0.0,1.0,Rhubarb,Perennial Vegetables,Perennial Horticulture,Permanent,,106,1048650,1060553,790338,773558,1183438,1265021,1288072
710,Spargel,Asparagus,Asperges,Asparagi,,,0.0,0.0,1.0,Asparagus,Perennial Vegetables,Perennial Horticulture,Permanent,,449,3948135,4677286,3783742,3812916,5038369,4993127,5143936
711,Pilze (Freiland),Mushrooms (open field),Champignons en pleine terre,Funghi (in pieno campo),,,0.0,0.0,1.0,,,,,True,0,916,946,808,1030,1620,3455,10030
712,Christbäume,Christmas trees,Sapins de Noël,Alberelli di Natale,,,0.0,0.0,0.0,Christmas Trees,Christmas Trees,Woody Crops,Permanent,,659,6784344,7135278,5643089,5512481,6903531,6976338,7201740
713,Baumschule von Forstpflanzen ausserhalb der Forstzone,Forest plant nurseries outside forest zones,Pépinières de plantes forestières hors zone forestière,Vivai forestali fuori delle zone forestali,,,0.0,0.0,0.0,Nursery,Nursery,Nursery,Permanent,True,64,553191,597847,474220,512938,758536,805600,796822
714,"Ziersträucher, Ziergehölze und Zierstauden","Ornamental shrubs, woody ornamentals and perennials","Buissons, arbrisseaux et arbustes ornementaux","Arbusti, arboscelli, cespugli ornamentali",,,0.0,0.0,0.0,,,,,True,148,1339067,1553697,1449808,1451774,1538220,1550944,1485409
715,"Übrige Baumschulen (Rosen, Früchte, usw.)","Other nurseries (roses, fruit trees, etc.)","Autres pépinières (roses, fruits, etc.)","Altri vivai (rose, frutta, ecc.)",,2022.0,0.0,0.0,0.0,Nursery,Nursery,Nursery,Permanent,True,403,3412924,3701657,6027077,2996228,0,0,0
717,Rebflächen mit natürlicher Artenvielfalt,Vineyard areas with natural biodiversity,Surfaces viticoles présentant une biodiversité naturelle,Vigneti con biodiversità naturale,,,0.0,1.0,1.0,Vines,Vines,Orchard,Permanent,,4032,16867029,33977885,42934077,42432286,45719878,48415855,51884881
718,Trüffelanlagen,Truffle plantations,Truffières,Tartufaie,,,0.0,0.0,0.0,,,,,True,39,264798,297422,295536,365448,488756,498193,497443
719,Maulbeerbaumanlagen (Fütterung Seidenraupen),Mulberry plantations (feeding silkworms),Cultures de mûriers (alimentation des vers à soie),Coltivazioni di gelsi (foraggiamento dei bachi da seta),,,0.0,0.0,0.0,,,,,True,1,11778,12577,6109,6110,10664,8656,11670
720,Gepflegte Selven (Edelkastanienbäume),Managed chestnut groves,Châtaigneraies entretenues (surface),Selve curate (castagni),,,0.0,0.0,0.0,Chestnut,Chestnut,Woody Crops,Permanent,,367,399261,3187312,6057396,3737398,3968496,4151466,4186203
721,Mehrjährige gärtnerische Freilandkulturen (nicht im Gewächshaus),Perennial open-field horticultural crops (not in greenhouses),Cultures horticoles pluriannuelles de plein air (pas en serres),Floricoltura di pieno campo pluriennale (non in serra),,,0.0,0.0,0.0,Perennial Special Crops,Perennial Special Crops,Perennial Horticulture,Permanent,,15,74053,120406,129989,169082,192229,196059,188749
722,Baumschulen von Reben,Vine nurseries,Pépinières viticoles,Vivai viticoli,,,0.0,0.0,0.0,Nursery,Nursery,Nursery,Permanent,True,25,142617,268241,264771,270634,276870,253248,270770
723,Baumschulen von Obst und Beeren,Fruit and berry tree nurseries,Pépinière de fruits et de baies,Vivaio di alberi da frutto e bacche,2023.0,,0.0,0.0,0.0,Nursery,Nursery,Nursery,Permanent,True,109,0,0,0,0,985632,1112471,1185279
724,"Übrige Baumschulen (Rosen, Zierstauden, usw.)","Other nurseries (roses, ornamental shrubs, etc.)","Autres pépinières (rosiers, plantes ornementales, etc.)","Altri vivai (rose, arbusti ornamentali, ecc.)",2023.0,,0.0,0.0,0.0,Nursery,Nursery,Nursery,Permanent,True,220,0,0,0,0,2360110,2225718,2010235
725,Permakultur,Permaculture,Permaculture,Permacultura,,,0.0,0.0,1.0,,,,,True,96,0,172370,573511,795117,1227935,1448611,1571273
730,Obstanlagen aggregiert,"Fruit orchards, aggregated",Cultures fruitières agrégée,Frutteti aggregata,,,0.0,0.0,1.0,Other Tree Crops,Tree Crops,Orchard,Permanent,,71,46592,0,4211654,2171,2156,4669,2520
731,"Andere Obstanlagen (Kiwis, Holunder usw.)","Other fruit orchards (kiwi, elderberry, etc.)","Autres cultures fruitières (kiwis, sureau, etc.)","Altri frutteti (kiwi, sambuco, ecc.)",,,0.0,0.0,1.0,Other Tree Crops,Tree Crops,Orchard,Permanent,,172,1323446,1608307,1256008,1346486,1952323,2176853,2366396
735,Reben (regionsspezifische Biodiversitätsförderflächen),Vineyards (region-specific biodiversity promotion areas),Vignes (surfaces de promotion de la biodiversité spécifiques à la ré-gion),Vigna (superfici per la promozione della biodiversità specifiche di una regione),,,0.0,1.0,1.0,Vines,Vines,Orchard,Permanent,,25,48384,333632,322273,269434,276400,274988,257870
750,"Übrige Dauerkulturen, beitragsberechtigt, aggregiert","Other perennial crops, eligible for contributions (aggregated)","Autres surfaces de cultures pérennes, avec contributions, agrégée","Altre colture perenni, con contributi, aggregata",,,0.0,0.0,0.0,,,,,True,162,0,0,3238106,422,0,0,0
760,"Dauerkulturen, nicht beitragsberechtigt, aggregiert","Perennial crops, not eligible for contributions (aggregated)","Surfaces de cultures pérennes, sans contributions, agrégée","Colture perenni, senza contributi, aggregata",,2022.0,0.0,0.0,0.0,,,,,True,0,,,,,,,
797,"Übrige Flächen mit Dauerkulturen, beitragsberechtigt","Other areas with perennial crops, eligible for contributions","Autres surfaces de cultures pérennes, avec contributions","Altre superfici con colture perenni, con contributi",,,0.0,0.0,0.0,,,,,True,49,294411,396212,713601,702457,429603,469874,437784
798,"Übrige Flächen mit Dauerkulturen, nicht beitragsberechtigt","Other areas with perennial crops, not eligible for contributions","Autres surfaces de cultures pérennes, sans contributions","Altre superfici con colture perenni, senza contributi",,,0.0,0.0,0.0,,,,,True,20,212704,276932,130675,96598,236334,213837,203684
801,Gemüsekulturen in Gewächshäusern mit festem Fundament,Vegetable crops in greenhouses with permanent foundations,Cultures maraîchères sous abri avec fondations permanentes,Colture orticole in serre con fondamenta fisse,,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,203,1744840,1975358,2124860,1927768,2173925,2148118,2134994
802,Übrige Spezialkulturen in Gewächshäusern mit festem Fundament,Other special crops in greenhouses with permanent foundations,Autres cultures spéciales sous abri avec fondations permanentes,Altre colture speciali in serre con fondamenta fisse,,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,26,284775,307318,256776,149837,314657,218262,284666
803,Gärtnerische Kulturen in Gewächshäusern mit festem Fundament,Horticultural crops in greenhouses with permanent foundations,Cultures horticoles sous abri avec fondations permanentes,Floricoltura in serre con fondamenta fisse,,,0.0,0.0,0.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,26,129196,165722,253368,364182,279738,302069,295114
804,Beerenkulturen in Gewächshäusern mit festem Fundament,Berry crops in greenhouses with permanent foundations,Cultures des baies sous serres avec fondations permanentes,Colture bacche in serra con fondamenta fisse,2023.0,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,2,0,0,0,0,7977,27354,28242
806,Gemüsekulturen in geschütztem Anbau ohne festes Fundament,Vegetable crops in protected cultivation without permanent foundations,Cultures maraîchères sous abri sans fondations permanentes,Colture orticole in serre senza fondamenta fisse,,2022.0,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,204,1730195,2364741,2209478,1847371,0,0,0
807,Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament,Other special crops in protected cultivation without permanent foundations,Autres cultures spéciales sous abri sans fondations permanentes,Altre colture speciali in serre senza fondamenta fisse,,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,56,644662,714950,575915,530542,605706,425885,427566
808,Gärtnerische Kulturen in geschütztem Anbau ohne festes Fundament,Horticultural crops in protected cultivation without permanent foundations,Cultures horticoles sous abri sans fondations permanentes,Floricoltura in serre senza fondamenta fisse,,,0.0,0.0,0.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,27,223960,289037,405120,297068,221560,222375,227987
810,Pilze in geschütztem Anbau mit festem Fundament,Mushrooms in protected cultivation with permanent foundations,Champignons sous abri avec fondations permanentes,Funghi coltivati al coperto con fondamenta fisse,,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,0,964,970,960,960,964,17865,980
811,Gemüsekulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden,"Vegetable crops in protected cultivation without permanent foundations, in natural soil",Cultures maraîchères sous abri sans fondations permanentes; sur sol naturel,Colture orticole coltivate al coperto senza fondamenta fisse; nel terreno naturale,2023.0,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,215,0,0,0,0,2165593,2108223,2184362
812,Gemüsekulturen in geschütztem Anbau ohne festes Fundament; auf Pflanztischen oder -gestellen,"Vegetable crops in protected cultivation without permanent foundations, on planting tables or racks",Cultures maraîchères sous abri sans fondations permanentes; sur des tables de plantation ou des étagères,Colture orticole coltivate al coperto senza fondamenta fisse; su tavole di piantagione o rastrelliere,2023.0,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,5,0,0,0,0,53459,55668,51158
813,Beerenkulturen in geschütztem Anbau ohne festes Fundament; im gewachsenen Boden,"Berry crops in protected cultivation without permanent foundations, in natural soil",Cultures des baies sous abri sans fondations permanentes; sur sol naturel,Colture di bacche coltivate al coperto senza fondamenta fisse; nel terreno naturale,2023.0,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,23,0,0,0,0,131797,318734,238974
814,Beerenkulturen in geschütztem Anbau ohne festes Fundament; auf Pflanztischen oder -gestellen,"Berry crops in protected cultivation without permanent foundations, on planting tables or racks",Cultures des baies sous abri sans fondations permanentes; sur des tables de plantation ou  des étagères,Colture di bacche coltivate al coperto senza fondamenta fisse; su tavole di piantagione o rastrelliere,2023.0,,0.0,0.0,1.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,42,0,0,0,0,309470,459729,496524
830,"Kulturen in ganzjährig geschütztem Anbau, beitragsberechtigt aggregiert","Crops in year-round protected cultivation, eligible for contributions (aggregated)","Cultures sous abri sans fondations permanentes, avec contributions, agrégée","Superfici con colture protette tutto l’anno, con contributi, aggregata",,,0.0,0.0,0.0,Greenhouses,Greenhouses,Greenhouses,Permanent,,23,0,0,919215,33576,33140,91064,91848
